"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1991134301119746493","Thu Nov 20 22:30:23 +0000 2025","0","@blue_berets7 Bingung ya sama DPR RUU KUHAP yg ga terlalu Urgent Ngotot banget buru2 mau diberesin Sementara RUU Perampasan Aset yg udah 2th lebih masuk Prolegnas Boro2 Disahkan lhaa disidangkan aja kagq. Bener kata Alm.Gus dur. Memang udah Sepatutnya Lembaga DPR/MPR Dibubarkan aja kali yaa?","1991635259994305008","","blue_berets7","in","","0","0","0","https://x.com/undefined/status/1991635259994305008","1942043341027422208",
"1991626914294034769","Thu Nov 20 21:57:13 +0000 2025","0","kenapa berita ruu kuhap tenggelam kawal dulu please bayangin kalian tweet random besoknya di tangkap karena nyenggol si gemoy dan plonga plongo","1991626914294034769","","","in","","1","0","0","https://x.com/undefined/status/1991626914294034769","1867569108067450880",
"1991539576394117232","Thu Nov 20 19:46:44 +0000 2025","27","@DjM_46_531 @babisapiku That different topic dude don't be general bsa aja tar polisi tangkep ku dari vid lu yg Ama x Ruu KUHAP bisa segitu bahayanya soalnya bisa nangkep","1991594077129961727","","DjM_46_531","in","","0","0","1","https://x.com/undefined/status/1991594077129961727","1394137422498201600",
"1991565590465761677","Thu Nov 20 17:53:32 +0000 2025","0","simulasi nusakambangan setelah ruu kuhap disahkan","1991565590465761677","","","in","","0","0","0","https://x.com/undefined/status/1991565590465761677","1113962419309559808",
"1991565455493120434","Thu Nov 20 17:53:00 +0000 2025","0","Tentang RUU kUHAP https://t.co/6LqqG56lY3","1991565455493120434","https://pbs.twimg.com/media/G6N2OiOacAEsOzp.jpg","","in","","0","0","0","https://x.com/undefined/status/1991565455493120434","3193234681",
"1991545545014509594","Thu Nov 20 16:37:39 +0000 2025","0","ruu tni + ruu kuhap","1991546493871050922","","dokjauriel","in","","0","0","0","https://x.com/undefined/status/1991546493871050922","4134068534",
"1991477285812334715","Thu Nov 20 16:04:23 +0000 2025","1","Oh iya kalo warga pengen baca draft lengkap RUU KUHAP yg baru bisa baca dimari yak: https://t.co/lGhRCcy2p6","1991538118978334992","","txtfromkeuangan","in","","0","1","0","https://x.com/undefined/status/1991538118978334992","1590845630037229569",
"1991477285812334715","Thu Nov 20 16:04:12 +0000 2025","3","Soal pemblokiran tabungan (bisa jadi rekening) itu emang diatur di Pasal 140 KUHAP (Draft RUU KUHAP 18 Nov 2025). Pemblokiran dapat dilakuin penyidik penuntut umum atau hakim. Tapi pemblokiran dilakuin harus dapat izin dari ketua pegadilan negeri.","1991538074933948441","","txtfromkeuangan","in","","0","1","1","https://x.com/undefined/status/1991538074933948441","1590845630037229569",
"1991477285812334715","Thu Nov 20 16:04:10 +0000 2025","5","Ada banyak respons dari pengesahan RUU KUHAP jadi UU. Termasuk kata Ketua Umum Perhimpunan Bantuan Hukum Indonesia (PBHI) Julius Ibrani. Kata Julius RUU KUHAP ini bisa merebut paksa kemerdekaan diri karena ada pasal-pasal yg bermasalah. https://t.co/tJsp1VLBtA","1991538066931204183","https://pbs.twimg.com/media/G6Nbqg_acAg62nx.png","txtfromkeuangan","in","","0","1","2","https://x.com/undefined/status/1991538066931204183","1590845630037229569",
"1991537018166472966","Thu Nov 20 16:00:00 +0000 2025","0"," Koalisi tekankan bahwa 4 masalah krusial yang beredar massif posternya yang dibuat oleh rekan Bijak Memantau dan Indonesian Matters adalah bukan hoaks namun berasal dari sikap kritis pembacaaan RUU KUHAP kata Daniel melalui keterangannya Kamis (20/11).","1991537018166472966","","","in","","0","0","2","https://x.com/undefined/status/1991537018166472966","68930552",
"1991518537521979599","Thu Nov 20 15:44:26 +0000 2025","1","@zakiberkata Wah ada2 saja sampean ini.. apa hubungannya dengan RUU KUHAP yang disahkan dengan patung Bung Karno dan gunung Semeru meletus itu akibat bencana alam.","1991533097545003311","","zakiberkata","in","","0","0","0","https://x.com/undefined/status/1991533097545003311","1681310138790199297",
"1991529577823498695","Thu Nov 20 15:30:26 +0000 2025","3","Min yakin RUU KUHAP akan melindungi hak hak Masyarakat dibidang hukum dan dalam penyampaian aspirasi secara terbuka ?? Khawatirnya ini malah akan membuat sebuah institusi menjadi super power..","1991529577823498695","","","in","","0","0","1","https://x.com/undefined/status/1991529577823498695","1319594866054033408",
"1991401278157758942","Thu Nov 20 15:01:00 +0000 2025","0","pasal 5 ayat (1) butir e multitafsir yg berpotensi menimbulkan ksewenangan aparat atau psal-pasal yg diuji terkait pnyidikan dn pnahanan. ini pasal karet dn bisa saja polisi melakukan tindakan diluar hukum/RUU KUHAP. https://t.co/zDYmJtj83g","1991522167956336970","https://pbs.twimg.com/media/G6NOqVRacAszMRw.png","PutriNovela9","in","","0","0","0","https://x.com/undefined/status/1991522167956336970","953476834385059840",
"1991522053498024202","Thu Nov 20 15:00:32 +0000 2025","0","Habiburokhman perwakilan Komisi III DPR RI menyebutkan 4 pasal yang beredar di media sosial terkait RUU KUHAP tersebut adalah hoaks padahal semua yang tersebar merupakan bagian dari draf yang mereka keluarkan sendiri.","1991522053498024202","","","in","","0","1","0","https://x.com/undefined/status/1991522053498024202","1479835186325979139",
"1991514291728765197","Thu Nov 20 14:30:45 +0000 2025","2","Mereka menolak revisi UU KPK yg sudah disahkan DPR &amp; rancangan UU yg bermasalah. Kemarin DPR mengesahkan RUU KUHAP yg juga ditolak masyarakat karena proses penyusunannya tertutup banyak pasal yg memperluas kewenangan tanpa pengawasan.","1991514555470737757","","King_SpeakUp","in","","0","1","0","https://x.com/undefined/status/1991514555470737757","1787788662295683072",
"1991509870819045678","Thu Nov 20 14:12:08 +0000 2025","1","ruu kuhap","1991509870819045678","","","in","","0","0","0","https://x.com/undefined/status/1991509870819045678","1099632508235276288",
"1990948503900807221","Thu Nov 20 14:36:04 +0000 2025","0","@KangManto123 RUU KUHAP MAU DISAHIN CHAT GPT MAU DIBLOKIR? EMG NEGARA KONTOL","1991515894682644862","","KangManto123","in","","0","0","0","https://x.com/undefined/status/1991515894682644862","1214934987855646722",
"1991514672777035797","Thu Nov 20 14:31:13 +0000 2025","0","RUU KUHAP Disahkan DPR Kenapa Banyak Orang Menolaknya? #KUHAP #RUUKUHAP #Hukum #DPR https://t.co/NyVrc0rbJp","1991514672777035797","","","in","","0","0","0","https://x.com/undefined/status/1991514672777035797","1929511365397647360",
"1991494034238673172","Thu Nov 20 14:09:23 +0000 2025","0","@alumnihousen bgmna pendapat anda tntang ruu kuhap yg baru disahkan","1991509177609654611","","alumnihousen","in","","0","1","0","https://x.com/undefined/status/1991509177609654611","1104406762839400448",
"1991506178728423636","Thu Nov 20 13:57:28 +0000 2025","0","kocak KOCAAAAAKKK. KUHAP BISA SAT SET DIBAHAS GILIRAN RUU PERAMPASAN ASET DITUNDA MULU GENDEEEENG","1991506178728423636","","","in","","0","0","0","https://x.com/undefined/status/1991506178728423636","1278175204515041281",
"1991505722862105081","Thu Nov 20 13:55:39 +0000 2025","0","btw ini RUU KKS bakal sinkron ama KUHAP. gw yakin g sedikit yg bakal habis an ngekritik peraturan ini. jujur gw ngerasa ini bakal lebih ke pidanacentric ketimbang nguatin kerangka protektif dan preventif.","1991505722862105081","","","in","","0","0","0","https://x.com/undefined/status/1991505722862105081","1683074526043865088",
"1991502215341842597","Thu Nov 20 13:41:43 +0000 2025","0","Gua gk tau cara berpikir manusia2 yg ada disana gmn tpi rasa-rasanya RUU KUHAP yang ditolak masyarakat sana sini bisa secepat itu buat sah sedangkan RUU Perampasan Aset yg udah jelas2 didesak dari dulu malah ditunda2 wkwk","1991502215341842597","","","in","","0","0","0","https://x.com/undefined/status/1991502215341842597","1467679222529282051",
