node,degree_in,degree_out,betweenness,pagerank,eigenvector
duren___,1,0,0.0,0.0006968490254038045,0.0
viviantanad,1,0,0.0,0.0006968490254038045,0.0
hipohan,1,0,0.0,0.0006968490254038045,0.0
baronben_,1,0,0.0,0.0006968490254038045,0.0
vnacant,1,0,0.0,0.0006968490254038045,0.0
tsetiady,1,0,0.0,0.0006968490254038045,0.0
mardiasih,1,0,0.0,0.0006968490254038045,0.0
sadarrdirii,1,0,0.0,0.0006968490254038045,0.0
icelvands,1,0,0.0,0.0006968490254038045,0.0
aryapanam,1,0,0.0,0.0006968490254038045,0.0
berrybellyn,1,0,0.0,0.0006968490254038045,0.0
satriakalteng,1,0,0.0,0.0006968490254038045,0.0
anasurbaningrum,1,0,0.0,0.0006968490254038045,0.0
akuntwiter968,1,0,0.0,0.0006968490254038045,0.0
slsaajiiikyuwoo,1,0,0.0,0.0006968490254038045,0.0
bersatusatya,1,0,0.0,0.0006968490254038045,0.0
awasseukeut,1,0,0.0,0.0006968490254038045,0.0
ayamspicymekdi,1,0,0.0,0.0006968490254038045,0.0
kanseulir,1,0,0.0,0.0006968490254038045,0.0
armazulfikar,1,0,0.0,0.0006968490254038045,0.0
hammsqi,1,0,0.0,0.0006968490254038045,0.0
okcompawter,1,0,0.0,0.0006968490254038045,0.0
dee__1209,1,0,0.0,0.0006968490254038045,0.0
kucing_ucu,2,0,0.0,0.0006968490254038045,0.0
investorid,1,0,0.0,0.0006968490254038045,0.0
shiawasahi,1,0,0.0,0.0006968490254038045,0.0
ramabcde,1,0,0.0,0.0006968490254038045,0.0
txtburuh,1,0,0.0,0.0006968490254038045,0.0
indopopbase,1,0,0.0,0.0006968490254038045,0.0
guaremperor,1,0,0.0,0.0006968490254038045,0.0
inilahdotcom,1,0,0.0,0.0006968490254038045,0.0
straotohpri,1,0,0.0,0.0006968490254038045,0.0
txttransportasi,1,0,0.0,0.0006968490254038045,0.0
unilubis,1,0,0.0,0.0006968490254038045,0.0
mudanews,1,0,0.0,0.0006968490254038045,0.0
pablonification,1,0,0.0,0.0006968490254038045,0.0
adindazahrany07,1,0,0.0,0.0006968490254038045,0.0
_tanteriva,1,0,0.0,0.0006968490254038045,0.0
uyoktweet,1,0,0.0,0.0006968490254038045,0.0
skipforemore,1,0,0.0,0.0006968490254038045,0.0
koran,1,0,0.0,0.0006968490254038045,0.0
keuangannews_id,2,0,0.0,0.0006968490254038045,0.0
olgaly_dia,1,0,0.0,0.0006968490254038045,0.0
wstwmyky,1,0,0.0,0.0006968490254038045,0.0
bang_jemie,2,0,0.0,0.0006968490254038045,0.0
gibran_tweet,3,0,0.0,0.0006567858585279101,0.0
meliksumanandar,2,0,0.0,0.0006434314695692788,0.0
pssi,2,0,0.0,0.000616722691652016,0.0
falkenhaynz,2,0,0.0,0.000616722691652016,0.0
blisonny,2,0,0.0,0.000616722691652016,0.0
veronicakoman,2,0,0.0,0.000616722691652016,0.0
krathalos97,2,0,0.0,0.000616722691652016,0.0
yusuf_dumdum,2,0,0.0,0.0005900139137347531,0.0
kinderjjoyyy,2,0,0.0,0.0005900139137347531,0.0
febrian71885830,2,0,0.0,0.0005900139137347531,0.0
rmol_id,2,0,0.0,0.0005900139137347531,0.0
henrysubiakto,2,0,0.0,0.0005657332065372414,0.0
kontras,2,0,0.0,0.0005633051358174903,0.0
psd08,2,0,0.0,0.0005633051358174903,0.0
zavikhaerul,2,0,0.0,0.0005633051358174903,0.0
setkabgoid,4,0,0.0,0.000550324296200359,0.0
are_inismyname,6,0,0.0,0.0005431708263106305,0.0
ndons_back,6,0,0.0,0.0005431708263106305,0.0
dpr_ri,3,0,0.0,0.0005390244286199786,0.0
ysfrif,1,0,0.0,0.0005365963579002274,0.0
mohamad_ashuri,1,0,0.0,0.0005365963579002274,0.0
bang_mamatcs,1,0,0.0,0.0005365963579002274,0.0
worksfess,1,0,0.0,0.0005365963579002274,0.0
bitcnotme,1,0,0.0,0.0005365963579002274,0.0
dimarsasongko98,1,0,0.0,0.0005365963579002274,0.0
sigitwid,1,0,0.0,0.0005365963579002274,0.0
sigmahalim,1,0,0.0,0.0005365963579002274,0.0
budakkorprat,1,0,0.0,0.0005365963579002274,0.0
bloombergtz,1,0,0.0,0.0005365963579002274,0.0
gg_02022020,1,0,0.0,0.0005365963579002274,0.0
thewoonbear,1,0,0.0,0.0005365963579002274,0.0
zakariazainal11,1,0,0.0,0.0005365963579002274,0.0
copyninjahk,1,0,0.0,0.0005365963579002274,0.0
jrbrtm,1,0,0.0,0.0005365963579002274,0.0
blank0429,1,0,0.0,0.0005365963579002274,0.0
reiza_patters,1,0,0.0,0.0005365963579002274,0.0
needsomehuge,1,0,0.0,0.0005365963579002274,0.0
_haye_,1,0,0.0,0.0005365963579002274,0.0
bocoraluspol,1,0,0.0,0.0005365963579002274,0.0
wakdres77,1,0,0.0,0.0005365963579002274,0.0
kogoromilenial,1,0,0.0,0.0005365963579002274,0.0
rterdogan,1,0,0.0,0.0005365963579002274,0.0
rezzh,1,0,0.0,0.0005365963579002274,0.0
biancafuturis,1,0,0.0,0.0005365963579002274,0.0
jaluhndko,1,0,0.0,0.0005365963579002274,0.0
suhartinitaurus,1,0,0.0,0.0005365963579002274,0.0
ompungguru,1,0,0.0,0.0005365963579002274,0.0
gevilano,1,0,0.0,0.0005365963579002274,0.0
aliminherman,1,0,0.0,0.0005365963579002274,0.0
himawaneko1,1,0,0.0,0.0005365963579002274,0.0
ocinz__,1,0,0.0,0.0005365963579002274,0.0
akumedia_id,1,0,0.0,0.0005365963579002274,0.0
zul_hasan,1,0,0.0,0.0005365963579002274,0.0
aswicahyono,1,0,0.0,0.0005365963579002274,0.0
dreadofme,1,0,0.0,0.0005365963579002274,0.0
cherrimiles,1,0,0.0,0.0005365963579002274,0.0
ga89684galeh,1,0,0.0,0.0005365963579002274,0.0
belovedlizz,1,0,0.0,0.0005365963579002274,0.0
noiir_098,1,0,0.0,0.0005365963579002274,0.0
ameerhussainn,1,0,0.0,0.0005365963579002274,0.0
taegurl_,1,0,0.0,0.0005365963579002274,0.0
rochmadhid6919,1,0,0.0,0.0005365963579002274,0.0
aunrrahman,1,0,0.0,0.0005365963579002274,0.0
sasasasa1559993,1,0,0.0,0.0005365963579002274,0.0
ainii_ain,1,0,0.0,0.0005365963579002274,0.0
affnsyaa,1,0,0.0,0.0005365963579002274,0.0
edzulfikar,1,0,0.0,0.0005365963579002274,0.0
tera1820,1,0,0.0,0.0005365963579002274,0.0
txtdrpemerintah,1,0,0.0,0.0005365963579002274,0.0
mtma9321,1,0,0.0,0.0005365963579002274,0.0
wongjerang6,1,0,0.0,0.0005365963579002274,0.0
reiayanyami,1,0,0.0,0.0005365963579002274,0.0
aabay81,1,0,0.0,0.0005365963579002274,0.0
fnazy14,1,0,0.0,0.0005365963579002274,0.0
kang___l,1,0,0.0,0.0005365963579002274,0.0
dewsbanisters,1,0,0.0,0.0005365963579002274,0.0
krsjgla,1,0,0.0,0.0005365963579002274,0.0
matanajwa,1,0,0.0,0.0005365963579002274,0.0
fajarnugros,1,0,0.0,0.0005365963579002274,0.0
faz_hrp,1,0,0.0,0.0005365963579002274,0.0
ernestprakasa,1,0,0.0,0.0005365963579002274,0.0
txtfrombrand,1,0,0.0,0.0005365963579002274,0.0
emmanuelmacron,1,0,0.0,0.0005365963579002274,0.0
jafarashsh63197,1,0,0.0,0.0005365963579002274,0.0
upt_p4op,1,0,0.0,0.0005365963579002274,0.0
h4l1mun_d1n61n,1,0,0.0,0.0005365963579002274,0.0
zy_zy_lestary,1,0,0.0,0.0005365963579002274,0.0
berlianidris,1,0,0.0,0.0005365963579002274,0.0
futomodaisuke,1,0,0.0,0.0005365963579002274,0.0
simbokesarah,1,0,0.0,0.0005365963579002274,0.0
rachmans,1,0,0.0,0.0005365963579002274,0.0
just_masbima,1,0,0.0,0.0005365963579002274,0.0
re_search30,1,0,0.0,0.0005365963579002274,0.0
ayamsegar3,1,0,0.0,0.0005365963579002274,0.0
iammrsmiths,1,0,0.0,0.0005365963579002274,0.0
threadreceh_,1,0,0.0,0.0005365963579002274,0.0
bayuangora,1,0,0.0,0.0005365963579002274,0.0
denitrihatnowo,1,0,0.0,0.0005365963579002274,0.0
cahlantana,1,0,0.0,0.0005365963579002274,0.0
agon1sed,1,0,0.0,0.0005365963579002274,0.0
ronin_rendahan,1,0,0.0,0.0005365963579002274,0.0
idiotkasta,1,0,0.0,0.0005365963579002274,0.0
n12700firman,1,0,0.0,0.0005365963579002274,0.0
